REPORTER_CD,year,class
231,2012,H3
231,2013,H3
231,2014,H4
231,2015,H4
231,2016,H3
232,2001,S3
232,2002,S3
232,2003,H1
233,2001,H1
233,2002,H2
233,2003,H2
233,2004,H2
233,2005,H2
233,2006,H2
233,2007,H3
233,2008,H3
233,2009,H3
233,2010,H3
233,2011,H3
233,2012,H4
233,2013,H4
233,2014,H4
233,2015,H4
233,2016,H4
233,2017,H5
234,2001,H1
234,2002,H2
234,2003,H2
234,2004,H2
234,2005,H2
234,2006,H2
234,2007,H3
234,2008,H3
234,2009,H3
242,2001,H1
242,2002,H1
242,2003,H2
242,2004,H2
242,2005,H2
242,2006,H2
242,2007,H2
242,2008,H3
242,2009,H3
242,2010,H3
242,2011,H3
242,2012,H4
242,2013,H4
242,2014,H4
242,2015,H4
242,2016,H4
242,2017,H5
246,2001,H1
246,2002,H2
246,2003,H2
246,2004,H2
246,2005,H2
246,2006,H2
246,2007,H3
246,2008,H3
246,2009,H3
246,2010,H3
246,2011,H3
246,2012,H4
246,2013,H4
246,2014,H4
246,2015,H4
246,2016,H4
246,2017,H5
251,2001,H1
251,2002,H2
251,2003,H2
251,2004,H2
251,2005,H2
251,2006,H2
251,2007,H3
251,2008,H3
251,2009,H3
251,2010,H3
251,2011,H3
251,2012,H4
251,2013,H4
251,2014,H4
251,2015,H4
251,2016,H4
258,2001,H1
258,2002,H1
258,2003,H2
258,2004,H2
258,2005,H2
258,2006,H2
258,2007,H2
258,2008,H2
258,2009,H3
258,2010,H3
258,2011,H3
258,2012,H4
258,2013,H4
258,2014,H4
258,2015,H4
262,2009,H3
266,2001,H1
266,2002,H1
266,2003,H1
266,2004,H2
266,2005,H2
266,2006,H2
266,2007,H2
266,2008,H2
266,2009,H2
268,2001,H1
268,2002,H1
268,2003,H1
268,2004,H1
268,2005,H2
268,2006,H2
268,2007,H2
268,2008,H2
268,2009,H3
268,2010,H3
268,2011,H3
268,2012,H4
268,2013,H4
268,2014,H4
268,2015,H4
268,2016,H4
268,2017,H4
270,2001,H0
270,2002,H1
270,2003,H1
270,2004,H1
270,2005,H1
270,2006,H1
270,2007,H1
270,2008,H1
270,2009,H1
270,2010,H1
270,2011,H3
270,2012,H3
270,2013,H3
270,2014,H3
270,2016,H3
275,2001,S3
275,2002,S3
275,2003,S3
275,2004,S3
275,2005,S3
275,2006,S3
275,2007,H3
275,2008,H3
275,2009,H3
275,2010,H3
275,2011,H3
275,2012,H3
275,2013,H3
275,2014,H3
275,2015,H4
275,2016,H4
276,2001,H1
276,2002,H2
276,2003,H2
276,2004,H2
276,2005,H2
276,2006,H2
276,2007,H3
276,2008,H3
276,2009,H3
276,2010,H3
276,2011,H3
276,2012,H4
276,2013,H4
276,2014,H4
276,2015,H4
276,2016,H4
276,2017,H5
288,2001,H0
288,2002,H0
288,2003,H1
288,2004,H2
288,2005,H2
288,2006,H2
288,2007,H2
288,2008,H2
288,2009,H2
288,2010,H3
288,2011,H3
288,2012,H3
288,2013,H4
288,2016,H4
296,2004,H1
296,2005,H2
296,2006,H2
296,2007,H2
296,2008,H2
296,2009,H2
296,2010,H2
296,2011,H2
296,2012,H2
296,2013,H2
296,2014,H4
296,2015,H4
296,2016,H4
300,2001,H1
300,2002,H2
300,2003,H2
300,2004,H2
300,2005,H2
300,2006,H2
300,2007,H3
300,2008,H3
300,2009,H3
300,2010,H3
300,2011,H3
300,2012,H4
300,2013,H4
300,2014,H4
300,2015,H4
300,2016,H4
300,2017,H5
304,2001,H1
304,2002,H2
304,2003,H2
304,2004,H2
304,2005,H2
304,2006,H2
304,2007,H3
304,2008,H3
304,2009,H3
304,2010,H3
304,2011,H3
304,2012,H4
304,2013,H4
304,2014,H4
304,2015,H4
304,2016,H4
308,2001,H1
308,2002,H1
308,2003,H1
308,2004,H1
308,2005,H1
308,2006,H1
308,2007,H1
308,2008,H1
308,2009,H1
320,2001,H1
320,2002,H2
320,2003,H2
320,2004,H2
320,2005,H2
320,2006,H2
320,2007,H3
320,2008,H3
320,2009,H3
320,2010,H3
320,2011,H3
320,2012,H4
320,2013,H4
320,2014,H4
320,2015,H4
320,2016,H4
324,2001,H1
324,2002,H1
324,2004,H1
324,2005,H2
324,2006,H2
324,2007,H2
324,2008,H2
324,2013,H4
324,2014,H4
324,2015,H4
324,2016,H4
324,2017,H4
328,2001,H1
328,2002,H1
328,2003,H1
328,2004,H1
328,2005,H2
328,2006,H2
328,2007,H3
328,2008,H3
328,2009,H3
328,2010,H3
328,2011,H3
328,2012,H3
328,2013,H3
328,2014,H3
328,2015,H3
328,2016,H3
328,2017,H3
340,2001,H1
340,2002,H1
340,2003,H2
340,2004,H2
340,2005,H2
